date,open,high,low,close,volume
2025-02-21,610.16,610.3,599.47,599.94,76519820
2025-02-20,611.54,611.684,607.02,610.38,36554000
2025-02-19,610.08,613.23,609.56,612.93,31011070
2025-02-18,610.88,611.49,608.38,611.49,26749029
2025-02-14,609.94,610.99,609.07,609.7,26910449
2025-02-13,604.48,609.94,603.2,609.73,40921301
2025-02-12,599.2,604.55,598.51,603.36,45076078
2025-02-11,602.55,605.86,602.43,605.31,30056740
2025-02-10,604.03,605.4999,602.74,604.85,26048711
2025-02-07,606.89,608.13,600.05,600.77,50788520
2025-02-06,605.99,606.4525,602.63,606.32,35771500
2025-02-05,600.64,604.37,598.58,604.22,30653150
2025-02-04,597.83,602.3,597.28,601.78,33457820
2025-02-03,592.67,600.29,590.49,597.77,65857250
2025-01-31,607.5,609.96,601.05,601.82,66671469
2025-01-30,603.96,606.6,600.715,605.04,39281262
2025-01-29,603.72,604.13,599.22,601.81,37177434
2025-01-28,600.62,605.37,597.25,604.52,44433320
2025-01-27,594.81,599.69,594.64,599.37,70361125
2025-01-24,609.81,610.78,606.8,607.97,34604688
2025-01-23,605.8,609.75,605.52,609.75,41152102
2025-01-22,605.92,607.82,605.36,606.44,48195969
2025-01-21,600.67,603.06,598.67,603.05,42532848
2025-01-17,596.96,599.36,595.61,597.58,58070633
2025-01-16,594.175,594.35,590.93,591.64,43319660
2025-01-15,590.325,593.94,589.195,592.78,56900160
2025-01-14,584.36,585.0,578.35,582.19,48420578
2025-01-13,575.77,581.75,575.35,581.39,47910059
2025-01-10,585.88,585.95,578.55,580.49,73105047
2025-01-08,588.7,590.5799,585.195,589.49,47304672
2025-01-07,597.42,597.75,586.78,588.63,60393047
2025-01-06,596.27,599.7,593.6,595.36,47679441
2025-01-03,587.53,592.6,586.43,591.95,37888461
2025-01-02,589.39,591.13,580.5,584.64,50203980
2024-12-31,589.905,590.6399,584.42,586.08,57052648
2024-12-30,587.89,591.74,584.41,588.22,56578762
2024-12-27,597.54,597.7761,590.7647,595.01,64969312
2024-12-26,599.5,602.48,598.0825,601.34,41338887
2024-12-24,596.06,601.34,595.47,601.3,33160102
2024-12-23,590.89,595.3,587.661,594.69,57635832
2024-12-20,581.77,595.75,580.91,591.15,125716703
2024-12-19,591.36,593.0,585.85,586.1,85919445
2024-12-18,603.98,606.405,585.89,586.28,108248703
2024-12-17,604.19,605.17,602.885,604.29,55773551
2024-12-16,606.0,607.7795,605.21,606.79,43695180
2024-12-13,606.4,607.13,602.81,604.21,35904727
2024-12-12,606.58,607.16,604.33,604.33,31543811
2024-12-11,605.78,608.435,605.5,607.46,28677721
2024-12-10,605.37,605.8,602.13,602.8,37234520
2024-12-09,607.69,607.86,604.08,604.68,34742738
2024-12-06,607.44,609.07,607.02,607.81,31241551
2024-12-05,607.66,608.48,606.305,606.66,28762180
2024-12-04,605.63,607.91,604.95,607.66,42787559
2024-12-03,603.39,604.16,602.341,603.91,26906631
2024-12-02,602.97,604.32,602.47,603.63,31745990
2024-11-29,599.66,603.35,599.3805,602.55,30177350
2024-11-27,600.46,600.85,597.28,598.83,34000160
2024-11-26,598.8,601.33,598.07,600.65,45621289
2024-11-25,599.52,600.86,595.2,597.53,42441391
2024-11-22,593.66,596.15,593.1525,595.51,38226391
2024-11-21,593.4,595.12,587.45,593.67,46750289
2024-11-20,590.38,590.79,584.63,590.5,50032578
2024-11-19,584.71,591.045,584.03,590.3,49412047
2024-11-18,586.22,589.49,585.34,588.15,37084078
2024-11-15,589.72,590.2,583.86,585.75,75988766
2024-11-14,597.32,597.81,592.65,593.35,38904113
2024-11-13,597.37,599.23,594.96,597.19,47388641
2024-11-12,598.68,599.29,594.37,596.9,43006129
2024-11-11,599.81,600.17,597.0,598.76,37586770
2024-11-08,596.17,599.64,596.165,598.19,46444887
2024-11-07,593.08,596.65,592.9999,595.61,47233207
2024-11-06,589.2,591.93,585.39,591.04,68181969
2024-11-05,570.74,576.74,570.52,576.7,39478320
2024-11-04,571.18,572.5,567.89,569.81,38216980
2024-11-01,571.32,575.55,570.62,571.04,45667527
2024-10-31,575.56,575.63,568.44,568.64,60182449
2024-10-30,581.29,583.32,579.29,580.01,41435840
2024-10-29,579.85,582.907,578.43,581.77,42899660
2024-10-28,582.58,582.71,580.52,580.83,30174699
2024-10-25,581.51,584.46,578.08,579.04,47268180
2024-10-24,579.98,580.06,576.57,579.24,34979859
2024-10-23,581.26,581.7086,574.415,577.99,49314566
2024-10-22,581.05,584.5,580.38,583.32,34183840
2024-10-21,583.85,584.85,580.6001,583.63,36439008
2024-10-18,584.07,585.39,582.58,584.59,37416801
2024-10-17,585.91,586.12,582.16,582.35,34393711
2024-10-16,579.78,582.83,578.96,582.3,30725439
2024-10-15,584.59,584.9,578.545,579.78,54203641
2024-10-14,581.22,585.27,580.73,584.32,36217219
2024-10-11,576.05,580.33,575.91,579.58,42267992
2024-10-10,575.77,577.58,574.49,576.13,44138059
2024-10-09,573.16,577.71,572.55,577.14,37912238
2024-10-08,570.42,573.78,569.5299,573.17,37398688
2024-10-07,571.3,571.9599,566.63,567.8,49964688
2024-10-04,572.35,573.36,568.1,572.98,43005191
2024-10-03,567.36,569.8025,565.49,567.82,40846473
2024-10-02,567.71,569.9,565.27,568.86,38097801
2024-10-01,573.4,574.0622,566.0,568.62,72668781
2024-09-30,570.42,574.38,568.08,573.76,63655449
2024-09-27,573.39,574.22,570.42,571.47,42100930
2024-09-26,574.38,574.71,569.9,572.3,48336000
2024-09-25,571.14,571.89,568.91,570.04,38428594
2024-09-24,570.48,571.36,567.6,571.3,46805672
